Date,1Y
10/1/1999,0.022576701
11/1/1999,0.021669458
12/1/1999,0.01844043
1/1/2000,0.026534989
2/1/2000,0.026396214
3/1/2000,0.0265931
4/1/2000,0.02895699
5/1/2000,0.02788998
6/1/2000,0.019782496
7/1/2000,0.033533364
8/1/2000,0.032388842
9/1/2000,0.030037547
10/1/2000,0.030465728
11/1/2000,0.027562754
12/1/2000,0.023188388
1/1/2001,0.031255613
2/1/2001,0.028342522
3/1/2001,0.036173011
4/1/2001,0.023977764
5/1/2001,0.018632221
6/1/2001,0.014453971
7/1/2001,0.01692817
8/1/2001,0.015937315
9/1/2001,0.0025169635
10/1/2001,0.010254736
11/1/2001,0.010557458
12/1/2001,-0.0019812037
1/1/2002,0.007873759
2/1/2002,0.0085551172
3/1/2002,0.010803957
4/1/2002,0.0053216094
5/1/2002,0.001082215
6/1/2002,0.0044413012
7/1/2002,0.0025558851
8/1/2002,0.0018227988
9/1/2002,-0.00015410293
10/1/2002,-0.0019993985
11/1/2002,-0.0027816716
12/1/2002,-0.0006171805
1/1/2003,-0.0019006412
2/1/2003,-0.0018728049
3/1/2003,-0.0017478652
4/1/2003,-0.0010768997
5/1/2003,0.00080370083
6/1/2003,-0.012220189
7/1/2003,-0.0009244847
8/1/2003,0.00096841092
9/1/2003,0.00056384575
10/1/2003,-0.0019647062
11/1/2003,-0.0016354861
12/1/2003,-0.0060214837
1/1/2004,-0.0013765171
2/1/2004,-0.0040138788
3/1/2004,-0.00064337992
4/1/2004,-0.0041226559
5/1/2004,-0.0050688531
6/1/2004,-0.0099233744
7/1/2004,-0.0044661319
8/1/2004,-0.0049146606
9/1/2004,-0.013323849
10/1/2004,-0.0021069296
11/1/2004,-0.00043775701
12/1/2004,0.011770015
1/1/2005,0.0034105223
2/1/2005,0.0053033359
3/1/2005,0.0058317037
4/1/2005,0.0048126552
5/1/2005,0.0066765132
6/1/2005,0.0082656544
7/1/2005,0.01091236
8/1/2005,0.01271347
9/1/2005,0.019752641
10/1/2005,0.011813055
11/1/2005,0.012722723
12/1/2005,0.0086637481
1/1/2006,0.020226777
2/1/2006,0.021201459
3/1/2006,0.03246409
4/1/2006,0.020911709
5/1/2006,0.022952525
6/1/2006,0.023841245
7/1/2006,0.021645871
8/1/2006,0.02153258
9/1/2006,0.027697787
10/1/2006,0.028277534
11/1/2006,0.033534887
12/1/2006,0.034453264
1/1/2007,0.02294261
2/1/2007,0.024827834
3/1/2007,0.020810997
4/1/2007,0.020617647
5/1/2007,0.014530358
6/1/2007,0.010868654
7/1/2007,0.019074841
8/1/2007,0.021308389
9/1/2007,0.018061964
10/1/2007,0.017092106
11/1/2007,0.021927741
12/1/2007,0.014931414
1/1/2008,0.011205579
2/1/2008,0.0029817483
3/1/2008,0.0063290718
4/1/2008,0.00065744269
5/1/2008,-0.0038171377
6/1/2008,-0.0036084469
7/1/2008,-0.0081728214
8/1/2008,-0.014738705
9/1/2008,-0.01016002
10/1/2008,0.011947825
11/1/2008,0.027838687
12/1/2008,0.025489929
1/1/2009,0.020270346
2/1/2009,0.020787439
3/1/2009,0.032452505
4/1/2009,0.0006938378
5/1/2009,0.00067495773
6/1/2009,0.0048903207
7/1/2009,-0.0010306189
8/1/2009,-0.0096508483
9/1/2009,-0.018867063
10/1/2009,-0.0080983562
11/1/2009,-0.010056144
12/1/2009,-0.012196567
1/1/2010,-0.0081215137
2/1/2010,-0.010673252
3/1/2010,-0.016183063
4/1/2010,-0.0044425119
5/1/2010,-0.0050458009
6/1/2010,-0.0038416424
7/1/2010,-0.0007004565
8/1/2010,-0.0068622794
9/1/2010,-0.0013733499
10/1/2010,-0.010022379
11/1/2010,-0.011654831
12/1/2010,-0.0093692711
1/1/2011,-0.011089811
2/1/2011,-0.01373086
3/1/2011,-0.015335463
4/1/2011,-0.014687821
5/1/2011,-0.021228984
6/1/2011,-0.020438566
7/1/2011,-0.025660386
8/1/2011,-0.012961883
9/1/2011,-0.0074655287
10/1/2011,-0.015956564
11/1/2011,-0.016411563
12/1/2011,-0.019541367
1/1/2012,-0.015949972
2/1/2012,-0.01662549
3/1/2012,-0.013275764
4/1/2012,-0.01873893
5/1/2012,-0.012500145
6/1/2012,-0.0035978255
7/1/2012,-0.012109077
8/1/2012,-0.011657948
9/1/2012,-0.021246725
10/1/2012,-0.016792467
11/1/2012,-0.015182398
12/1/2012,-0.024897123
1/1/2013,-0.011161637
2/1/2013,-0.0094603683
3/1/2013,0.004888702
4/1/2013,-0.0077068502
5/1/2013,-0.0051296752
6/1/2013,-0.0068342236
7/1/2013,-0.0016887147
8/1/2013,-0.01573045
9/1/2013,-0.013560346
10/1/2013,-0.010756253
11/1/2013,-0.010172945
12/1/2013,-0.019145737
1/1/2014,-0.013452525
2/1/2014,-0.014015135
3/1/2014,-0.0087407667
4/1/2014,-0.013215843
5/1/2014,-0.015203879
6/1/2014,-0.011902893
7/1/2014,-0.017835622
8/1/2014,-0.013198803
9/1/2014,-0.019720523
10/1/2014,-0.011100793
11/1/2014,-0.0034990728
12/1/2014,-0.025032918
1/1/2015,0.011239749
2/1/2015,0.015423693
3/1/2015,0.0091614976
4/1/2015,-0.0083404213
5/1/2015,-0.009880699667
6/1/2015,-0.01182059553
7/1/2015,-0.01264703
8/1/2015,-0.013028805
9/1/2015,-0.017461364
10/1/2015,-0.0084535881
11/1/2015,-0.0073988133
12/1/2015,-0.0072996474
1/1/2016,-0.008721906983
2/1/2016,-0.002108072567
3/1/2016,0.002028033354
4/1/2016,-0.01187316544
5/1/2016,-0.01173686904
6/1/2016,-0.005519095862
7/1/2016,-0.0150103723
8/1/2016,-0.01416164668
9/1/2016,-0.02204174883
10/1/2016,-0.01653604051
11/1/2016,-0.01880655679
12/1/2016,-0.02252757826
1/1/2017,-0.01370869
2/1/2017,-0.01181884
3/1/2017,-0.00158716
4/1/2017,-0.00564553
5/1/2017,-0.00406024
6/1/2017,0.00684315
7/1/2017,-0.00444683
8/1/2017,-0.00370641
9/1/2017,-0.01017058
10/1/2017,-0.00837856
11/1/2017,-0.00983842
12/1/2017,-0.02817086
1/1/2018,-0.00777266
2/1/2018,-0.00830552
3/1/2018,0.01343332
4/1/2018,0.00775513
5/1/2018,0.00438801
6/1/2018,0.00756385
7/1/2018,-0.00129735
8/1/2018,-0.001149
9/1/2018,-0.00684783
10/1/2018,-0.00181931
11/1/2018,0.00115223
12/1/2018,0.00482068
1/1/2019,0.00595182
2/1/2019,0.00568319
3/1/2019,0.05699928705
4/1/2019,0.03116858
5/1/2019,0.01869345
6/1/2019,0.01847719
7/1/2019,0.01052167
8/1/2019,0.0064539
9/1/2019,0.00284099
10/1/2019,-0.00040523
11/1/2019,-0.00223487
12/1/2019,-0.00289272
1/1/2020,-0.005960238537
2/1/2020,-0.00542171056
3/1/2020,0.0335421645
4/1/2020,0.03239443671
5/1/2020,0.02879320855
6/1/2020,0.01417741023
7/1/2020,-0.007440580402
8/1/2020,-0.0124438508
9/1/2020,-0.01315283588
10/1/2020,-0.01203275479
11/1/2020,-0.01347469571
12/1/2020,-0.01838472588
1/1/2021,-0.01611088064
2/1/2021,-0.02030850354
3/1/2021,-0.01502023562
4/1/2021,-0.01528389913
5/1/2021,-0.01704387149
6/1/2021,-0.01921395425
7/1/2021,-0.02017925426
8/1/2021,-0.03205613032
9/1/2021,-0.03471827214
10/1/2021,-0.01840434246
11/1/2021,-0.02600017785
12/1/2021,-0.02928754073
1/1/2022,-0.02232458811
2/1/2022,-0.02648672346
3/1/2022,-0.029980438
4/1/2022,-0.03285785488
5/1/2022,-0.03256422121
6/1/2022,-0.03966424812
7/1/2022,-0.01403304748
8/1/2022,-0.01470680451
9/1/2022,-0.02589102413
10/1/2022,0.0002713679247
11/1/2022,0.002496431009
12/1/2022,0.008279473988
1/1/2023,0.01355966515
2/1/2023,0.01433851413
3/1/2023,0.02600056238
4/1/2023,0.01248025575
5/1/2023,0.01147905835
6/1/2023,0.08005602783
7/1/2023,0.05104709693
8/1/2023,0.04306426058
9/1/2023,0.03322537492
10/1/2023,0.03182875905
11/1/2023,0.02782764722
12/1/2023,0.01626383365
1/1/2024,0.02506888842
2/1/2024,0.02395776719
3/1/2024,0.03035620185
4/1/2024,0.02084636714
5/1/2024,0.01953608997
6/1/2024,0.0231716057
7/1/2024,0.02513466025
8/1/2024,0.0254035805
9/1/2024,0.02445495674
10/1/2024,0.0221150878
11/1/2024,0.02053952264
12/1/2024,0.01594513224
1/1/2025,0.01635405267
2/1/2025,0.01336608929
3/1/2025,0.02257408001
4/1/2025,0.008733503072
5/1/2025,0.01202134222
6/1/2025,0.01721207973
7/1/2025,0.008389041395
8/1/2025,0.01523004563
9/1/2025,0.01149868056
10/1/2025,0.009733806674
11/1/2025,0.01001026691
12/1/2025,-0.001725738152
